Year,Age,Tm,Pos,No,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,Player,Current_Team
2012,24,SEA,QB,3,16,16,0,252,393,64.1,3118,26,6.6,10,2.5,153,48.1,67,7.9,8.1,12.4,194.9,100,72.7,33,203,7.7,6.84,7.01,Russell Wilson,Denver Broncos
2013,25,SEA,QB,3,16,16,0,257,407,63.1,3357,26,6.4,9,2.2,157,44.8,80,8.2,8.5,13.1,209.8,101.2,67.2,44,272,9.8,6.84,7.1,Russell Wilson,Denver Broncos
2014,26,SEA,QB,3,16,16,0,285,452,63.1,3475,20,4.4,7,1.5,161,42.5,80,7.7,7.9,12.2,217.2,95,69.7,42,242,8.5,6.54,6.72,Russell Wilson,Denver Broncos
2015,27,SEA,QB,3,16,16,0,329,483,68.1,4024,34,7,8,1.7,190,50.8,80,8.3,9,12.2,251.5,110.1,68.6,45,265,8.5,7.12,7.73,Russell Wilson,Denver Broncos
2016,28,SEA,QB,3,16,16,0,353,546,64.7,4219,21,3.8,11,2,193,47.2,59,7.7,7.6,12,263.7,92.6,57.1,41,293,7,6.69,6.56,Russell Wilson,Denver Broncos
2017,29,SEA,QB,3,16,16,0,339,553,61.3,3983,34,6.1,11,2,189,43.8,74,7.2,7.5,11.7,248.9,95.4,61.9,43,322,7.2,6.14,6.45,Russell Wilson,Denver Broncos
2018,30,SEA,QB,3,16,16,0,280,427,65.6,3448,35,8.2,7,1.6,156,44.1,66,8.1,9,12.3,215.5,110.9,63.3,51,355,10.7,6.47,7.28,Russell Wilson,Denver Broncos
2019,31,SEA,QB,3,16,16,0,341,516,66.1,4110,31,6,5,1,190,49.6,60,8,8.7,12.1,256.9,106.3,71.5,48,319,8.5,6.72,7.42,Russell Wilson,Denver Broncos
2020,32,SEA,QB,3,16,16,0,384,558,68.8,4212,40,7.2,13,2.3,213,51.4,62,7.5,7.9,11,263.3,105.1,67.1,47,301,7.8,6.46,6.82,Russell Wilson,Denver Broncos
2021,33,SEA,QB,3,14,14,0,259,400,64.8,3113,25,6.3,6,1.5,135,44.6,69,7.8,8.4,12,222.4,103.1,54.7,33,266,7.6,6.58,7.11,Russell Wilson,Denver Broncos
